#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Sun Oct  6 02:08:03 EDT 2019.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20191001,-102.6,22,1
20191001,-101.8,22,2
20191001,-101.7,22,2
20191001,-101.6,22,2
20191001,-101.5,22,2
20191001,-101.4,22,1
20191001,-101.3,22,1
20191001,-101.2,22,1
20191001,-100.5,22,1
20191001,-99,23,1
20191001,-76,23,1
20191001,-99.8,23,2
20191001,-99.6,23,2
20191001,-99.5,23,1
20191001,-99.4,23,5
20191001,-99.3,23,5
20191001,-99.2,23,1
20191001,-98.1,23,1
20191001,-97.7,23,2
20191001,-97.6,23,5
20191001,-97.5,23,1
20191001,-85.3,23,1
20191001,-79.8,23,1
20191001,-75.9,23,1
20191001,-75.8,23,2
20191001,-73.2,23,1
20191001,-69.3,23,1
20191001,-102.5,23,1
20191001,-102.4,23,1
20191001,-102.2,23,2
20191001,-101.5,23,1
20191001,-99.4,24,4
20191001,-99.3,24,2
20191001,-76.9,24,3
20191001,-76.7,24,1
20191001,-100.4,24,1
20191001,-100.5,25,1
20191001,-69,26,1
20191001,-106,26,2
20191001,-71.3,26,2
20191001,-69.4,26,1
20191001,-69.2,26,2
20191001,-68.8,26,1
20191001,-106.2,26,10
20191001,-106.1,26,9
20191001,-105.4,26,1
20191001,-105.3,26,6
20191001,-105.2,26,1
20191001,-100.9,20,1
20191001,-100.7,20,4
20191001,-100.6,20,2
20191001,-100.5,20,2
20191001,-100.4,20,2
20191001,-100.3,20,1
20191001,-99,21,2
20191001,-97,21,1
20191001,-96,21,1
20191001,-76,21,5
20191001,-75,21,1
20191001,-98.7,21,1
20191001,-98.6,21,1
20191001,-98.5,21,4
20191001,-98.4,21,1
20191001,-98.3,21,1
20191001,-98.2,21,17
20191001,-98.1,21,9
20191001,-97.1,21,1
20191001,-96.8,21,1
20191001,-96.3,21,2
20191001,-81.8,21,1
20191001,-80.5,21,3
20191001,-80.4,21,8
20191001,-80.3,21,6
20191001,-79.6,21,2
20191001,-77.3,21,2
20191001,-77.1,21,1
20191001,-76.9,21,3
20191001,-76.1,21,14
20191001,-75.9,21,3
20191001,-75.8,21,11
20191001,-75.7,21,18
20191001,-75.6,21,4
20191001,-75.5,21,1
20191001,-75.2,21,1
20191001,-101.1,21,1
20191001,-100.9,21,1
20191001,-100.8,21,2
20191001,-100.7,21,4
20191001,-100.6,21,2
20191001,-100.5,21,1
20191001,-100.4,21,1
20191001,-100.3,21,1
20191001,-100.1,21,5
20191001,-99,22,2
20191001,-97,22,2
20191001,-81,22,6
20191001,-80,22,2
20191001,-99.5,22,2
20191001,-99.4,22,6
20191001,-99.3,22,8
20191001,-99.2,22,3
20191001,-99.1,22,6
20191001,-98.5,22,1
20191001,-98.3,22,3
20191001,-98.2,22,3
20191001,-98.1,22,1
20191001,-97.6,22,5
20191001,-97.5,22,4
20191001,-97.4,22,1
20191001,-97.3,22,1
20191001,-83.6,22,1
20191001,-81.9,22,1
20191001,-76.6,19,10
20191001,-76.5,19,2
20191001,-76.3,19,2
20191001,-76.1,19,1
20191001,-75.9,19,18
20191001,-75.8,19,4
20191001,-75.7,19,5
20191001,-75.6,19,6
20191001,-75.5,19,1
20191001,-75.4,19,1
20191001,-75.3,19,9
20191001,-75.2,19,12
20191001,-74.9,19,1
20191001,-74.8,19,3
20191001,-74.7,19,4
20191001,-74.5,19,1
20191001,-74.4,19,1
20191001,-100,20,1
20191001,-99,20,2
20191001,-84,20,1
20191001,-78,20,7
20191001,-77,20,2
20191001,-75,20,2
20191001,-74,20,1
20191001,-99.8,20,1
20191001,-99.7,20,1
20191001,-99.5,20,4
20191001,-97.9,20,2
20191001,-97.8,20,6
20191001,-97.7,20,1
20191001,-97.6,20,11
20191001,-97.5,20,11
20191001,-97.4,20,3
20191001,-97.3,20,2
20191001,-97.2,20,2
20191001,-96.4,20,1
20191001,-83.7,20,2
20191001,-83.6,20,1
20191001,-83.5,20,1
20191001,-83.4,20,1
20191001,-83.3,20,4
20191001,-82.6,20,1
20191001,-79.1,20,2
20191001,-78.6,20,1
20191001,-78.5,20,24
20191001,-78.4,20,5
20191001,-78.3,20,3
20191001,-78.2,20,17
20191001,-78.1,20,24
20191001,-77.7,20,1
20191001,-77.4,20,1
20191001,-76.5,20,1
20191001,-76.4,20,5
20191001,-76.3,20,13
20191001,-76.2,20,1
20191001,-75.4,20,1
20191001,-75.3,20,1
20191001,-75.1,20,1
20191001,-74.9,20,1
20191001,-74.7,20,1
20191001,-74.6,20,6
20191001,-74.4,20,1
20191001,-74.3,20,1
20191001,-73.9,20,2
20191001,-78,18,1
20191001,-76,18,7
20191001,-79.6,18,1
20191001,-79.5,18,6
20191001,-79.3,18,6
20191001,-79.2,18,11
